Date, Type, Sender, Receiver, Content, ChannelName, RuleName, RuleGroupName
'17.04.2022 23:46:55', 'chat', '_Joness_', '', 'Heeej xD', 'English', '', ''
'17.04.2022 23:48:50', 'chat', '_Joness_', '', 'Jaa hvad med dig? :D', 'English', '', ''
'17.04.2022 23:51:34', 'chat', '_Joness_', '', 'Hyggeligt :D lyder da mega godt! :))', 'English', '', ''
'16.05.2022 17:56:57', 'chat', 'KatieDeForest', '', './server factions', 'English', '', ''
'16.05.2022 22:58:03', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 22:58:28', 'chat', 'NovaPhantom23', '', 'holy shi-', 'English', '', ''
'16.05.2022 22:59:07', 'chat', 'NovaPhantom23', '', 'well i guess i ahve some competition then', 'English', '', ''
'16.05.2022 22:59:49', 'chat', 'NovaPhantom23', '', 'ill have to pull out the big ideas', 'English', '', ''
'16.05.2022 23:00:25', 'chat', 'NovaPhantom23', '', 'fair enough lol', 'English', '', ''
'16.05.2022 23:00:50', 'chat', 'NovaPhantom23', '', 'im wondering what im going to go for. im thinking a castle', 'English', '', ''
'16.05.2022 23:01:08', 'chat', 'NovaPhantom23', '', 'yiss', 'English', '', ''
'16.05.2022 23:01:26', 'chat', 'NovaPhantom23', '', 'not anymore', 'English', '', ''
'16.05.2022 23:01:42', 'chat', 'NovaPhantom23', '', 'are you trying to suggest somthing lmaooo', 'English', '', ''
'16.05.2022 23:01:59', 'chat', 'NovaPhantom23', '', 'XD', 'English', '', ''
'16.05.2022 23:02:24', 'chat', 'NovaPhantom23', '', 'now we are both completely lost lmaooooo', 'English', '', ''
'16.05.2022 23:02:34', 'chat', 'NovaPhantom23', '', 'well i had better go choose a plot', 'English', '', ''
'16.05.2022 23:03:13', 'chat', 'NovaPhantom23', '', 'problem is that i need a big plot', 'English', '', ''
'16.05.2022 23:03:56', 'chat', 'NovaPhantom23', '', 'apparently ita already claimed', 'English', '', ''
'16.05.2022 23:06:09', 'chat', 'NovaPhantom23', '', 'ok. so how do i merge them. im guessing there is a command', 'English', '', ''
'16.05.2022 23:07:19', 'chat', 'NovaPhantom23', '', 'welp. guess i had better start planning my builkd', 'English', '', ''
'16.05.2022 23:09:50', 'chat', 'NovaPhantom23', '', 'ive been playing since beta 1.7', 'English', '', ''
'16.05.2022 23:11:12', 'chat', 'NovaPhantom23', '', 'i once had a world on xbox where i built and entire city', 'English', '', ''
'16.05.2022 23:11:33', 'chat', 'NovaPhantom23', '', 'unfortunatley it was lost to time though,/ but i remember it. took me 2 years', 'English', '', ''
'16.05.2022 23:13:05', 'chat', 'NovaPhantom23', '', 'im working on a backup and storage system that is completely ott', 'English', '', ''
'16.05.2022 23:13:26', 'chat', 'NovaPhantom23', '', 'over the top', 'English', '', ''
'16.05.2022 23:15:24', 'chat', 'NovaPhantom23', '', 'same here. i need to be earning 26k a year in order to live independantly', 'English', '', ''
'16.05.2022 23:16:41', 'chat', 'NovaPhantom23', '', 'apartments are not too bad here but i want to be in a house for many reasons but the biggest is networking', 'English', '', ''
'16.05.2022 23:17:52', 'chat', 'NovaPhantom23', '', 'thats very expensive', 'English', '', ''
'16.05.2022 23:18:30', 'chat', 'NovaPhantom23', '', 'uk', 'English', '', ''
'16.05.2022 23:19:10', 'chat', 'NovaPhantom23', '', 'id rather not live in the us though lmao', 'English', '', ''
'16.05.2022 23:19:34', 'chat', 'NovaPhantom23', '', 'canada', 'English', '', ''
'16.05.2022 23:19:51', 'chat', 'NovaPhantom23', '', 'thats basicly the only real choice', 'English', '', ''
'16.05.2022 23:20:09', 'chat', 'NovaPhantom23', '', ':(', 'English', '', ''
'16.05.2022 23:20:14', 'chat', 'NovaPhantom23', '', 'im sorry to hear that', 'English', '', ''
'16.05.2022 23:21:51', 'chat', 'NovaPhantom23', '', 'that sucks', 'English', '', ''
'16.05.2022 23:22:36', 'chat', 'NovaPhantom23', '', ';3', 'English', '', ''
'16.05.2022 23:22:59', 'chat', 'NovaPhantom23', '', 'check my discord bio for an idea lmaooo', 'English', '', ''
'16.05.2022 23:24:08', 'chat', 'NovaPhantom23', '', 'who said im not a switch', 'English', '', ''
'16.05.2022 23:24:10', 'chat', 'NovaPhantom23', '', 'brb', 'English', '', ''
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', 'slut can go both ways lmaooo', 'English', '', ''
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', 'slut can go both ways lmaooo', 'English', '', 'swear'
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', '***** can go both ways lmaooo', 'English', '', ''
'16.05.2022 23:29:33', 'chat', 'NovaPhantom23', '', 'obviously lmaooo', 'English', '', ''
'16.05.2022 23:30:09', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 23:30:28', 'chat', 'NovaPhantom23', '', 'i have to do a new one. but i wont lie i am defo a sub lmaoo', 'English', '', ''
'16.05.2022 23:31:04', 'chat', 'NovaPhantom23', '', 'no need to be ashamed of what you like. i say that but i still skirt the vocabulary', 'English', '', ''
'16.05.2022 23:31:52', 'chat', 'NovaPhantom23', '', 'also wanna get in vc? building and typing is tiring lmao', 'English', '', ''
'16.05.2022 23:32:40', 'chat', 'NovaPhantom23', '', 'that sucks', 'English', '', ''
'16.05.2022 23:33:14', 'chat', 'NovaPhantom23', '', 'mine are not nearly that strict', 'English', '', ''
'16.05.2022 23:33:47', 'chat', 'NovaPhantom23', '', 'why are our tests so simmilar lmao', 'English', '', ''
'16.05.2022 23:35:48', 'chat', 'NovaPhantom23', '', 'hold on. ill send you an old one i did', 'English', '', ''
'16.05.2022 23:37:17', 'chat', 'NovaPhantom23', '', 'yea. after being used i coulnt go back lmao', 'English', '', ''
'16.05.2022 23:37:45', 'chat', 'NovaPhantom23', '', 'yea', 'English', '', ''
'16.05.2022 23:43:52', 'chat', 'NovaPhantom23', '', 'yea. im still super subby though', 'English', '', ''
'16.05.2022 23:44:02', 'chat', 'NovaPhantom23', '', 'fun fact. i used to be a vrc escord', 'English', '', ''
'16.05.2022 23:44:09', 'chat', 'NovaPhantom23', '', 'escort*', 'English', '', ''
'16.05.2022 23:44:19', 'chat', 'NovaPhantom23', '', 'people would pay me to erp', 'English', '', ''
'16.05.2022 23:44:41', 'chat', 'NovaPhantom23', '', 'its suprising how lonely people are. but erp is alot esier in vr lmaooo', 'English', '', ''
'16.05.2022 23:45:24', 'chat', 'NovaPhantom23', '', 'wanna go in with me', 'English', '', ''
'16.05.2022 23:46:32', 'chat', 'NovaPhantom23', '', 'same but i do it so i can voice train', 'English', '', ''
'16.05.2022 23:47:28', 'chat', 'NovaPhantom23', '', 'well if you want i could send you a few videos that helped me', 'English', '', ''
'16.05.2022 23:49:07', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 23:50:11', 'chat', 'NovaPhantom23', '', 'owww. i had my volume on 100%', 'English', '', ''
'16.05.2022 23:50:43', 'chat', 'NovaPhantom23', '', 'WHATTTT', 'English', '', ''
'16.05.2022 23:51:13', 'chat', 'NovaPhantom23', '', 'HUH,/ I CANT HEAR YOU', 'English', '', ''
'16.05.2022 23:51:30', 'chat', 'NovaPhantom23', '', 'HAHAHAHA', 'English', '', ''
'16.05.2022 23:51:55', 'chat', 'NovaPhantom23', '', 'yes i can UwU', 'English', '', ''
'16.05.2022 23:54:44', 'chat', 'NovaPhantom23', '', 'well ill be available at like 8-9 pm your time', 'English', '', ''
'16.05.2022 23:55:47', 'chat', 'NovaPhantom23', '', 'sounds good', 'English', '', ''
'16.05.2022 23:55:56', 'chat', 'NovaPhantom23', '', 'btw. do you like the first tower', 'English', '', ''
'16.05.2022 23:57:16', 'chat', 'NovaPhantom23', '', 'well the inside is just a quick thing. the outside is what im more worried about. i think it needs more texture', 'English', '', ''
'16.05.2022 23:57:58', 'chat', 'NovaPhantom23', '', 'i agree. well it will ahve more once the walls are added', 'English', '', ''
'16.05.2022 23:58:19', 'chat', 'NovaPhantom23', '', 'ikr', 'English', '', ''
'16.05.2022 23:58:33', 'chat', 'NovaPhantom23', '', 'ew indeed', 'English', '', ''
'17.05.2022 00:01:27', 'chat', 'NovaPhantom23', '', 'ok yea. with the walls it looks alot better', 'English', '', ''
'17.05.2022 00:02:01', 'chat', 'NovaPhantom23', '', 'the walls will ahve a decayed look aswell as the tower. for now im mostly working in the template', 'English', '', ''
'17.05.2022 00:02:27', 'chat', 'NovaPhantom23', '', 'do i have world edit?', 'English', '', ''
'17.05.2022 00:03:07', 'chat', 'NovaPhantom23', '', 'ok. well it hopefully does. does this one use the wooden axe', 'English', '', ''
'17.05.2022 00:03:42', 'chat', 'NovaPhantom23', '', 'yea. i was planning to copy and paste all these corners', 'English', '', ''
'17.05.2022 00:04:12', 'chat', 'NovaPhantom23', '', 'ill check once ive done this bit of wall', 'English', '', ''
'17.05.2022 00:04:42', 'chat', 'NovaPhantom23', '', 'not at al;l', 'English', '', ''
'17.05.2022 00:08:20', 'chat', 'NovaPhantom23', '', 'welp time to see if i remember how to copy and paste', 'English', '', ''
'17.05.2022 00:11:24', 'chat', 'NovaPhantom23', '', 'ugh. why is world edit always so annoying', 'English', '', ''
'17.05.2022 00:11:46', 'chat', 'NovaPhantom23', '', 'am i able to use baritone on this server', 'English', '', ''
'17.05.2022 00:12:15', 'chat', 'NovaPhantom23', '', 'its a bot client. i use it for repetive building in creative worlds', 'English', '', ''
'17.05.2022 00:13:37', 'chat', 'NovaPhantom23', '', 'well it depends what client its in then. the one i ahve most experince with is impact as i use that for 2b2t', 'English', '', ''
'17.05.2022 00:15:22', 'chat', 'NovaPhantom23', '', 'shame. ill have to redo my old build bot then', 'English', '', ''
'17.05.2022 00:15:40', 'chat', 'NovaPhantom23', '', 'eh. less fun', 'English', '', ''
'17.05.2022 00:16:05', 'chat', 'NovaPhantom23', '', 'i jsut forget how to rotate. its been a long time since i used world edit lol', 'English', '', ''
'17.05.2022 00:20:07', 'chat', 'NovaPhantom23', '', 'i dont ahve perms for that', 'English', '', ''
'17.05.2022 00:26:36', 'chat', 'NovaPhantom23', '', 'there we go', 'English', '', ''
'17.05.2022 00:26:45', 'chat', 'NovaPhantom23', '', 'that was much harder than it needed to be', 'English', '', ''
'17.05.2022 00:26:58', 'chat', 'NovaPhantom23', '', 'lmaooo', 'English', '', ''
'17.05.2022 00:27:02', 'chat', 'NovaPhantom23', '', 'i can work it out', 'English', '', ''
'17.05.2022 00:27:08', 'chat', 'NovaPhantom23', '', 'eventaully', 'English', '', ''
'17.05.2022 00:29:12', 'chat', 'NovaPhantom23', '', 'one wall finished', 'English', '', ''
'17.05.2022 00:29:34', 'chat', 'NovaPhantom23', '', 'well. done to the point of i can start ot do more planning', 'English', '', ''
'17.05.2022 00:31:19', 'chat', 'NovaPhantom23', '', 'lol', 'English', '', ''
'17.05.2022 00:31:34', 'chat', 'NovaPhantom23', '', 'well i need to go to sleep. got work in the morning q_q', 'English', '', ''
'17.05.2022 00:32:09', 'chat', 'NovaPhantom23', '', 'yea. also means its time to take the skirt off T-T', 'English', '', ''
'17.05.2022 00:33:30', 'chat', 'NovaPhantom23', '', 'well before i got to sleep i need to do my lunch for tomorrow', 'English', '', ''
'17.05.2022 00:34:00', 'chat', 'NovaPhantom23', '', 'lol. well ttyl hun', 'English', '', ''
'17.05.2022 22:02:30', 'chat', 'NovaPhantom23', '', 'they look suprisingly good considering curves in minecraft nevfer go well lol', 'English', '', ''
'17.05.2022 22:06:33', 'chat', 'NovaPhantom23', '', 'slight difference', 'English', '', ''
'17.05.2022 22:59:28', 'chat', 'NovaPhantom23', '', 'oof', 'English', '', ''
'17.05.2022 22:59:36', 'chat', 'NovaPhantom23', '', 'maybe build somthing else for a bit', 'English', '', ''
'17.05.2022 23:01:11', 'chat', 'NovaPhantom23', '', 'not yet', 'English', '', ''
'17.05.2022 23:01:31', 'chat', 'NovaPhantom23', '', 'yea i see what you mean. defo not easy', 'English', '', ''
'17.05.2022 23:03:22', 'chat', 'NovaPhantom23', '', 'nothing wrong with the classic 4 corners', 'English', '', ''
'17.05.2022 23:03:49', 'chat', 'NovaPhantom23', '', 'idk. my build is not going to be easy when i get to the next b', 'English', '', ''
'17.05.2022 23:04:40', 'chat', 'NovaPhantom23', '', 'well i need to start zoning. then i need to plan the main castle and town', 'English', '', ''
'17.05.2022 23:05:26', 'chat', 'NovaPhantom23', '', 'and once its planned i need to build it which will be. well lets just say fun', 'English', '', ''
'17.05.2022 23:05:30', 'chat', 'NovaPhantom23', '', 'brb', 'English', '', ''
'17.05.2022 23:08:23', 'chat', 'NovaPhantom23', '', 'back', 'English', '', ''
'17.05.2022 23:08:47', 'chat', 'NovaPhantom23', '', 'well im happy with the wall. ill get all the detail work done later', 'English', '', ''
'17.05.2022 23:09:49', 'chat', 'NovaPhantom23', '', 'yea. ik what you mean', 'English', '', ''
'17.05.2022 23:11:03', 'chat', 'NovaPhantom23', '', 'would be nice ngl', 'English', '', ''
'17.05.2022 23:12:02', 'chat', 'NovaPhantom23', '', 'might be worth diabling beacon effects for new', 'English', '', ''
'17.05.2022 23:12:08', 'chat', 'NovaPhantom23', '', 'now*', 'English', '', ''
'17.05.2022 23:13:00', 'chat', 'NovaPhantom23', '', 'well ima chill for a bit and then go to bed. good night', 'English', '', ''
'17.05.2022 23:13:31', 'chat', 'NovaPhantom23', '', 'thank uuuu :3', 'English', '', ''
'10.06.2022 23:51:21', 'chat', 'Pink_soul', '', 'cool', 'English', '', ''
'10.06.2022 23:53:23', 'chat', 'Pink_soul', '', 'very big', 'English', '', ''
'10.06.2022 23:53:51', 'chat', 'Pink_soul', '', 'okii', 'English', '', ''
'10.06.2022 23:54:25', 'chat', 'Pink_soul', '', 'i think i'm going to bed', 'English', '', ''
'10.06.2022 23:54:33', 'chat', 'Pink_soul', '', 'so good niight', 'English', '', ''
'10.06.2022 23:54:51', 'chat', 'Pink_soul', '', 'yyyyyyyyyeeeeeee', 'English', '', ''
'22.06.2022 22:16:29', 'chat', 'ComboHT', '', 'Hejsa hejsa', 'English', '', ''
'22.06.2022 22:31:39', 'chat', 'ComboHT', '', 'Hejsa =D', 'English', '', ''
'03.07.2022 21:44:33', 'chat', 'KatieDeForest', '', 'Hey everyone :D', 'English', '', ''
'03.07.2022 21:44:38', 'chat', 'P0larbear_', '', 'dansk', 'English', '', ''
'03.07.2022 21:44:40', 'chat', 'pro2003gg', '', 'hej', 'English', '', ''
'03.07.2022 21:44:44', 'chat', 'P0larbear_', '', 'halløjsa', 'English', '', ''
'03.07.2022 21:44:44', 'chat', 'KatieDeForest', '', 'Hej allesammen', 'English', '', ''
'03.07.2022 21:45:29', 'chat', 'KatieDeForest', '', 'Velkommen til serveren ^o^', 'English', '', ''
'03.07.2022 22:12:34', 'chat', 'KatieDeForest', '', 'what the', 'English', '', ''
'03.07.2022 22:12:46', 'chat', 'P0larbear_', '', 'vi er gode mennesker', 'English', '', ''
'03.07.2022 22:13:04', 'chat', 'KatieDeForest', '', 'Jeg efterlader jer i få minutter,/ hvad sker der xDD', 'English', '', ''
'03.07.2022 22:15:57', 'chat', 'KatieDeForest', '', 'Somebody's hungry', 'English', '', ''
'03.07.2022 22:16:33', 'chat', 'KatieDeForest', '', 'Is it 4 different plot owners Simon?', 'English', '', ''
'03.07.2022 22:17:17', 'chat', 'KatieDeForest', '', 'This one is connected with the other ladder one', 'English', '', ''
'03.07.2022 22:17:23', 'chat', 'KatieDeForest', '', 'But somehow it didn't merge', 'English', '', ''
'03.07.2022 22:17:44', 'chat', 'KatieDeForest', '', 'And now its fine', 'English', '', ''
'03.07.2022 22:17:45', 'chat', 'KatieDeForest', '', 'wtf', 'English', '', ''
'03.07.2022 22:17:57', 'chat', 'KatieDeForest', '', 'ehh', 'English', '', ''
'03.07.2022 22:18:31', 'chat', 'KatieDeForest', '', 'I guess use plot clear instead', 'English', '', ''
'03.07.2022 22:18:36', 'chat', 'KatieDeForest', '', 'But yeah', 'English', '', ''
'03.07.2022 22:18:42', 'chat', 'KatieDeForest', '', 'Air should be placeable', 'English', '', ''
'03.07.2022 22:18:49', 'chat', 'KatieDeForest', '', 'Perhaps a setting in the config', 'English', '', ''
'03.07.2022 22:18:54', 'chat', 'P0larbear_', '', 'my pc is on fire', 'English', '', ''
'03.07.2022 22:19:06', 'chat', 'KatieDeForest', '', 'I'm still running a good 300 fps', 'English', '', ''
'03.07.2022 22:19:15', 'chat', 'KatieDeForest', '', 'But I usually have 600-800', 'English', '', ''
'03.07.2022 22:19:19', 'chat', 'KatieDeForest', '', 'So something has happened xD', 'English', '', ''
'03.07.2022 22:19:20', 'chat', 'P0larbear_', '', 'im on a whooping 7 fps', 'English', '', ''
'03.07.2022 22:19:59', 'chat', 'KatieDeForest', '', 'wtf', 'English', '', ''
'03.07.2022 22:20:28', 'chat', 'KatieDeForest', '', 'Can they set barrier blocks?', 'English', '', ''
'03.07.2022 22:20:38', 'chat', 'KatieDeForest', '', 'Where', 'English', '', ''
'03.07.2022 22:20:58', 'chat', 'KatieDeForest', '', 'fixed', 'English', '', ''
'03.07.2022 22:21:15', 'chat', 'KatieDeForest', '', 'You just have to merge twice', 'English', '', ''
'03.07.2022 22:21:21', 'chat', 'KatieDeForest', '', 'bit buggy', 'English', '', ''
'03.07.2022 22:22:00', 'chat', 'KatieDeForest', '', 'uhm,/ idk how the road is still here lol', 'English', '', ''
'03.07.2022 22:22:10', 'chat', 'P0larbear_', '', 'we fucked up ur server', 'English', '', ''
'03.07.2022 22:22:10', 'chat', 'P0larbear_', '', 'we fucked up ur server', 'English', '', 'swear'
'03.07.2022 22:22:10', 'chat', 'P0larbear_', '', 'we ****ed up ur server', 'English', '', ''
'03.07.2022 22:22:17', 'chat', 'KatieDeForest', '', 'nah,/ its the plugin', 'English', '', ''
'03.07.2022 22:22:40', 'chat', 'KatieDeForest', '', 'We aren't responsible for the bad programming of merging xDD', 'English', '', ''
'03.07.2022 22:23:14', 'chat', 'KatieDeForest', '', 'Yea,/ but still', 'English', '', ''
'03.07.2022 22:23:19', 'chat', 'KatieDeForest', '', 'Takes it's time,/ obviously', 'English', '', ''
'03.07.2022 22:23:31', 'chat', 'P0larbear_', '', 'then we can spawn 20000 wardens at the same time', 'English', '', ''
'03.07.2022 22:24:05', 'chat', 'KatieDeForest', '', 'Doesn't work the same way :D', 'English', '', ''
'03.07.2022 22:24:09', 'chat', 'KatieDeForest', '', 'Mob spawning is limited', 'English', '', ''
'03.07.2022 22:26:22', 'chat', 'KatieDeForest', '', 'How do you spell precisely in Danish,/ Simon?', 'English', '', ''
'03.07.2022 22:26:37', 'chat', 'KatieDeForest', '', 'Thanks', 'English', '', ''
'03.07.2022 22:26:47', 'chat', 'KatieDeForest', '', '60 fps', 'English', '', ''
'03.07.2022 22:26:48', 'chat', 'KatieDeForest', '', 'hmm', 'English', '', ''
'03.07.2022 22:26:51', 'chat', 'KatieDeForest', '', 'interesting', 'English', '', ''
'03.07.2022 22:28:23', 'chat', 'P0larbear_', '', 'my plot is completed', 'English', '', ''
'03.07.2022 22:29:05', 'command', 'KatieDeForest', '', '/msg Fuglen We need some rules about this for future players xD', '', '', ''
'03.07.2022 22:29:20', 'command', 'KatieDeForest', '', '/r no fps killing builds lol', '', '', ''
'03.07.2022 22:29:49', 'command', 'KatieDeForest', '', '/r yeah,/ stresstesting is good', '', '', ''
'03.07.2022 22:29:56', 'chat', 'KatieDeForest', '', 'Imma hop back on the Faction server', 'English', '', ''
'03.07.2022 22:30:24', 'command', 'KatieDeForest', '', '/r lol', '', '', ''
'04.07.2022 12:28:57', 'chat', 'magn4965', '', 'heyo xD', 'English', '', ''
'04.07.2022 12:29:16', 'chat', 'magn4965', '', 'jeg er igang med at bygge the home of homes xD', 'English', '', ''
'04.07.2022 12:29:36', 'chat', 'magn4965', '', 'yup', 'English', '', ''
'04.07.2022 12:29:46', 'chat', 'magn4965', '', 'det er bare dødlækkert igoh xD', 'English', '', ''
'04.07.2022 12:30:02', 'chat', 'magn4965', '', 'igen?', 'English', '', ''
'04.07.2022 12:30:42', 'chat', 'magn4965', '', 'ahh på den måde,/ men det er da i survival?', 'English', '', ''
'04.07.2022 12:31:26', 'chat', 'magn4965', '', 'skal jeg give din et ufatteligt godt building design?', 'English', '', ''
'04.07.2022 12:31:37', 'chat', 'magn4965', '', 'det må vi lige se på xD', 'English', '', ''
'04.07.2022 12:31:52', 'chat', 'magn4965', '', 'dem her right', 'English', '', ''
'04.07.2022 12:32:49', 'chat', 'magn4965', '', ':(', 'English', '', ''
'04.07.2022 12:32:56', 'chat', 'magn4965', '', 'hmm okay', 'English', '', ''
'04.07.2022 12:33:00', 'chat', 'magn4965', '', 'så dem her', 'English', '', ''
'04.07.2022 12:33:19', 'chat', 'magn4965', '', 'nope okay :(', 'English', '', ''
'04.07.2022 12:34:47', 'chat', 'magn4965', '', 'har jeg det?', 'English', '', ''
'04.07.2022 12:35:04', 'chat', 'magn4965', '', 'og ja det er i 1.19 du kan bygge pressure plates ovenpå dem', 'English', '', ''
'04.07.2022 12:35:18', 'chat', 'magn4965', '', 'gg ved ikke hvordan man bruger world edit alligevel såeee xD', 'English', '', ''
'04.07.2022 12:35:39', 'chat', 'magn4965', '', 'sure :D', 'English', '', ''
'04.07.2022 12:37:25', 'chat', 'magn4965', '', 'jeg er ikke medlem af tbs discord endnu,/ troede du ville sende et link xDD', 'English', '', ''
'04.07.2022 12:37:34', 'chat', 'magn4965', '', 'tfb*', 'English', '', ''
'04.07.2022 13:29:59', 'anvil', 'magn4965', '', '{"type":"name tag","name":"anton","lore":[]}', '', '', ''
'04.07.2022 13:41:47', 'chat', 'magn4965', '', 'astools', 'English', '', ''
'04.07.2022 14:22:32', 'chat', 'KatieDeForest', '', 'Hey', 'English', '', ''
'04.07.2022 14:23:01', 'chat', 'KatieDeForest', '', 'Can you check out the Faction shop,/ and see if you'd like any changes? :3', 'English', '', ''
'04.07.2022 14:54:51', 'chat', 'Fuglen', '', './/set 0', 'English', '', ''
'04.07.2022 14:55:04', 'chat', 'magn4965', '', 'z0', 'English', '', ''
'04.07.2022 15:05:08', 'chat', 'Fuglen', '', './p schematic save', 'English', '', ''
